title,text,label
Technology: Shocking Claim #1 Goes Viral,"A viral social media post claims an extraordinary event related to technology. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Politics: Shocking Claim #2 Goes Viral,"A viral social media post claims an extraordinary event related to politics. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Sports: Shocking Claim #3 Goes Viral,"A viral social media post claims an extraordinary event related to sports. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Business: Shocking Claim #4 Goes Viral,"A viral social media post claims an extraordinary event related to business. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Business: Shocking Claim #5 Goes Viral,"A viral social media post claims an extraordinary event related to business. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Health: Shocking Claim #6 Goes Viral,"A viral social media post claims an extraordinary event related to health. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Technology: Shocking Claim #7 Goes Viral,"A viral social media post claims an extraordinary event related to technology. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
World: Shocking Claim #8 Goes Viral,"A viral social media post claims an extraordinary event related to world. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Technology: Shocking Claim #9 Goes Viral,"A viral social media post claims an extraordinary event related to technology. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Economy: Shocking Claim #10 Goes Viral,"A viral social media post claims an extraordinary event related to economy. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Science: Shocking Claim #11 Goes Viral,"A viral social media post claims an extraordinary event related to science. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Politics: Shocking Claim #12 Goes Viral,"A viral social media post claims an extraordinary event related to politics. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Politics: Shocking Claim #13 Goes Viral,"A viral social media post claims an extraordinary event related to politics. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Technology: Shocking Claim #14 Goes Viral,"A viral social media post claims an extraordinary event related to technology. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Business: Shocking Claim #15 Goes Viral,"A viral social media post claims an extraordinary event related to business. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Business: Shocking Claim #16 Goes Viral,"A viral social media post claims an extraordinary event related to business. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
World: Shocking Claim #17 Goes Viral,"A viral social media post claims an extraordinary event related to world. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
Economy: Shocking Claim #18 Goes Viral,"A viral social media post claims an extraordinary event related to economy. The article cites unnamed sources, provides no verifiable evidence, uses sensational language, and encourages readers to share immediately. Independent fact-checkers could not confirm the claims.",FAKE
